"ident",  "country", "latitude_deg", "longitude_deg"
GWEBB, ALABAMA, 31.0703, -85.7167
HACKE, ALABAMA, 34.3639, -87.5803
HAGIE, ALABAMA, 34.7069, -87.4914
HAGUR, ALABAMA, 34.8483, -86.7781
HALEC, ALABAMA, 34.0286, -88.0017
HAMGA, ALABAMA, 33.5231, -86.7472
HANDE, ALABAMA, 33.3122, -86.5233
HANKO, ALABAMA, 33.8383, -85.6483
HANUR, ALABAMA, 33.3686, -86.3408
HANVI, ALABAMA, 34.5047, -85.9961
HAPIN, ALABAMA, 30.5658, -87.7006
HARNN, ALABAMA, 33.9314, -88.1414
HASEL, ALABAMA, 34.5192, -86.9342
HATAS, ALABAMA, 34.8297, -86.6256
HAVOG, ALABAMA, 31.0228, -86.8206
HAVSO, ALABAMA, 31.5269, -85.3219
HAXES, ALABAMA, 31.4422, -86.0156
HAZEY, ALABAMA, 31.2592, -88.4025
HEBLI, ALABAMA, 31.2194, -86.9028
HEDRO, ALABAMA, 34.0636, -85.6717
HEENA, ALABAMA, 33.2067, -86.8708
HEFIN, ALABAMA, 33.5983, -85.4194
HEGAP, ALABAMA, 32.3236, -86.6511
HEGOB, ALABAMA, 30.4311, -87.4139
HEKAL, ALABAMA, 30.3811, -87.7008
HELMU, ALABAMA, 30.6786, -88.3583
HELTU, ALABAMA, 32.3222, -86.6353
HELUD, ALABAMA, 31.1103, -87.4469
HEMMO, ALABAMA, 31.9081, -86.3447
HEMOV, ALABAMA, 32.5267, -86.5667
HEPUS, ALABAMA, 31.6228, -87.2411
HEREG, ALABAMA, 34.5858, -86.7833
HERKO, ALABAMA, 33.0689, -86.8453
HESEL, ALABAMA, 32.3931, -85.4408
HESGA, ALABAMA, 33.5978, -86.8889
HETOD, ALABAMA, 33.1706, -86.1817
HEVOG, ALABAMA, 33.8425, -86.5983
HIDAR, ALABAMA, 31.3353, -86.4978
HIHIT, ALABAMA, 31.0022, -86.9853
HILAG, ALABAMA, 33.6839, -85.7286
HINIV, ALABAMA, 34.8356, -85.5956
HIPIX, ALABAMA, 33.2806, -86.5711
HISAL, ALABAMA, 30.6492, -88.2364
HISIP, ALABAMA, 34.6686, -86.6822
HITGA, ALABAMA, 30.3064, -88.0994
HOAPE, ALABAMA, 33.5128, -88.1964
HOBBI, ALABAMA, 34.4661, -86.6778
HOKES, ALABAMA, 33.925, -85.9925
HOLOG, ALABAMA, 33.6261, -88.1797
HOLTY, ALABAMA, 33.3197, -87.4181
HONIS, ALABAMA, 32.8667, -86.5172
HOOTS, ALABAMA, 34.03, -88.1719
HORAM, ALABAMA, 34.6972, -85.6286
HOREK, ALABAMA, 34.3667, -87.5972
HORPO, ALABAMA, 33.8692, -86.0864
HOTOW, ALABAMA, 33.7614, -88.0892
